CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B8028300,earrings,Love earrings,white gold,,"Love earrings, 18K white gold. Width: 3.6mm. Inner diameter 32.6mm."
 B8301433,earrings,Love earrings,"pink gold, diamond",4050.0,"Love earrings, 18K pink gold, each set with 3 brilliant-cut diamonds totaling 0.13 carat."
 B8022900,earrings,"Love earrings, 2 diamonds","yellow gold, diamonds",4650.0,"Love earrings, 18K yellow gold, each set with 1 brilliant-cut diamond totaling 0.07 carats. Width: 5.7mm."
 B8301218,earrings,Love earrings,"pink gold, diamonds",4650.0,"Love earrings, 18K rose gold, each set with 1 brilliant-cut diamonds totaling 0.07 carats. Width: 5.7mm."
 B8022800,earrings,"Love earrings, 2 diamonds","white gold, diamonds",5000.0,"Love earrings, 18K white gold, each set with 1 brilliant-cut diamond totaling 0.07 carats. Width: 5.7mm."
 N8515192,earrings,Love earrings,"pink gold, diamond",10400.0,"Love earrings, 18K pink gold, each set with 48 brilliant-cut diamonds totaling 0.51 carat."
 N8515193,earrings,Love earrings,"white gold, diamond",11100.0,"Love earrings, 18K white gold, each set with 48 brilliant-cut diamonds totaling 0.51 carat."
 B8301423,earrings,Love single earring,yellow gold,810.0,"Love single earring, 18K yellow gold. Diameter 12mm. Sold individually."
 B8044700,earrings,PanthÃ¨re de Cartier earrings,"yellow gold, lacquer, diamonds, tsavorite garnets, onyx",11200.0,"PanthÃ¨re de Cartier earrings, 18K yellow gold, black lacquer, each set with 5 brilliant-cut diamonds totaling 0.01 carat. Tsavorite garnets, onyx."
 N8050700,earrings,PanthÃ¨re de Cartier earrings,"white gold, diamonds, emeralds, onyx",13700.0,"PanthÃ¨re de Cartier earrings, 18K white gold, each set with 63 brilliant-cut diamonds totaling 0.38 carat. Emeralds, onyx."
 N8515072,earrings,PanthÃ¨re de Cartier earrings,"yellow gold, diamonds, tsavorite garnets, onyx",24700.0,"PanthÃ¨re de Cartier drop earrings, 18K yellow gold, set with 34 brilliant-cut diamonds totaling 0.09 carats, tsavorite garnet eyes, onyx."
 N8503200,earrings,PanthÃ¨re de Cartier earrings,"white gold, diamonds, emeralds, onyx",37700.0,"PanthÃ¨re de Cartier earrings, 18K white gold, each set with 76 brilliant-cut diamonds totaling 0.72 carat. Emeralds, onyx."
 N8515073,earrings,PanthÃ¨re de Cartier earrings,"white gold, emeralds, diamonds, onyx",,"PanthÃ¨re de Cartier drop earrings, 18K white gold, set with 252 brilliant-cut diamonds totaling 1.48 carats, emerald eyes, onyx."
 H8000330,earrings,PanthÃ¨re de Cartier earrings,"white gold, emeralds, onyx, diamonds",70500.0,"PanthÃ¨re de Cartier hoop earrings, 18K white gold, set with emerald eyes, onyx spots, onyx nose and 478 diamonds totaling 3.11 carats"
 HP800976,earrings,PanthÃ¨re de Cartier earrings,"white gold, emeralds, onyx, diamonds",160000.0,"Earrings - 18K white gold, 10 emeralds, 444 brilliant-cut diamonds totaling 5.95 carats, onyx."
 HP800918,earrings,PanthÃ¨re de Cartier earrings,"platinum, sapphires, onyx, diamonds",177000.0,"Earrings - 950â€° platinum, 327 brilliant-cut diamonds totaling 4.65 carats, sapphires, onyx."
 B8033100,earrings,Caresse dâ€™OrchidÃ©es par Cartier earrings,"pink gold, diamonds",3300.0,"Caresse d'OrchidÃ©es par Cartier earrings, small model, 18K pink gold, each set with 1 brilliant-cut diamond of 0.01 carat."
 HP800935,earrings,Faune et Flore de Cartier earrings,"white gold, diamonds",85500.0,"Earrings - 950â€° platinum, emeralds, brilliant-cut diamonds."
 B8032200,earrings,Caresse dâ€™OrchidÃ©es par Cartier earrings,"white gold, diamonds",11100.0,"Caresse d'OrchidÃ©es par Cartier earrings, small model, 18K white gold, each set with 27 brilliant-cut diamonds totaling 0.31 carat."
 H8000125,earrings,Les Oiseaux LibÃ©rÃ©s earrings,"white gold, emeralds, sapphires, mother-of-pearl, diamonds",93500.0,"Les Oiseaux LibÃ©rÃ©s earrings, 18K white gold, gray mother-of pearl, emerald, sapphire, 2 drop-shaped emeralds, each set with 186 brilliant-cut diamonds totaling 0.96 carats."
 H8000128,earrings,Les Oiseaux LibÃ©rÃ©s earrings,"white gold, sapphires, emeralds, gray mother-of-pearl, diamonds",194000.0,"Les Oiseaux LibÃ©rÃ©s earrings, 18K white gold, gray mother-of pearl, emeralds, sapphire beads, each set with 202 brilliant-cut diamonds totaling 1.19 carats."
 H8000129,earrings,Les Oiseaux LibÃ©rÃ©s earrings,"white gold, emeralds, mother-of-pearl, diamonds",217000.0,"Les Oiseaux LibÃ©rÃ©s earrings, 18K white gold, gray mother-of pearl, emeralds, emerald beads, each set with 202 brilliant-cut diamonds totaling 1.19 carats."
 H8000127,earrings,Les Oiseaux LibÃ©rÃ©s earrings,"white gold, rubies, emeralds, mother-of-pearl, diamonds",251000.0,"Les Oiseaux LibÃ©rÃ©s earrings, 18K white gold, gray mother-of pearl, emeralds, ruby beads, each set with 202 brilliant-cut diamonds totaling 1.19 carats."
 N8515099,earrings,Cactus de Cartier earrings,"pink gold, spinels, diamonds",30800.0,"Cactus de Cartier earrings, 18K pink gold, each set with 4 spinels and 4 brilliant-cut diamonds totaling 0.07 carats."
 H8000238,earrings,Cactus de Cartier earrings,"yellow gold, emeralds, carnelians, diamonds",57000.0,"Cactus de Cartier earrings, 18K yellow gold, emeralds, carnelians, each set with 11 brilliant-cut diamonds totaling 0.19 carats."
 N8515141,earrings,Cactus de Cartier earrings,"yellow gold, diamonds",60500.0,"Cactus de Cartier earrings, 18K yellow gold, set with 170 brilliant-cut diamonds totaling 3.50 carats."
 B8301257,earrings,Cactus de Cartier earrings,"yellow gold, diamonds",,"Cactus de Cartier earrings, 18K yellow gold, set with 4 brilliant-cut diamonds totaling 0.07 carats."
 B8301248,earrings,Cactus de Cartier earrings,"pink gold, diamonds",10500.0,"Cactus de Cartier earrings, 18K pink gold, each set with 3 brilliant-cut diamonds totaling 0.05 carats."
 N8515136,earrings,Cactus de Cartier earrings,"yellow gold, aventurine, diamonds",11800.0,"Cactus de Cartier earrings, 18K yellow gold, set with 4 aventurines and 8 brilliant-cut diamonds totaling 0.14 carat."
 N8515093,earrings,Cactus de Cartier earrings,"yellow gold, diamonds",30800.0,"Cactus de Cartier earrings, 18K yellow gold, each set with 12 brilliant-cut diamonds totaling 0.23 carats."
 B8043200,earrings,Trinity earrings,"white gold, yellow gold, pink gold, diamonds",2040.0,"Trinity earrings, 18K white gold, 18K rose gold, 18K yellow gold, each set with 1 brilliant-cut diamonds totaling 0.04 carats. Inner diameter 7.3mm."
 80083231,earrings,Trinity earrings,"white gold, yellow gold, pink gold",2300.0,"Trinity earrings, 18K white gold, 18K rose gold, 18K yellow gold. Width: 3.3mm. Inner diameter 13.2mm."
